Id;Ativo;tipo;Data;Valor 
1;ABCP11;D;2017-10-06;0.8
2;ABCP11;D;2017-11-08;0.8
3;ABCP11;D;2017-12-07;0.8
4;ITSA4;D;2018-01-02;0.45
5;ABCP11;D;2018-01-08;0.8
6;ABCP11;D;2018-02-07;1.2
7;ABCP11;D;2018-03-07;0.8
8;ITSA4;J;2018-03-07;9.54
9;ITSA4;J;2018-03-07;4.29
10;ITSA4;D;2018-03-07;3.3
11;ITSA4;D;2018-04-02;0.45
12;ITSA4;D;2018-04-05;5.55
13;ABCP11;D;2018-04-06;0.8
14;MGLU3;D;2018-04-25;1.05
15;MGLU3;D;2018-04-25;1.35
16;ABCP11;D;2018-05-08;0.8
17;ABCP11;D;2018-06-07;0.85
18;KNRE11;D;2018-06-14;24.26
19;SAPR4;J;2018-06-25;3.61
20;ITSA4;D;2018-07-02;1.12
21;TIET4;D;2018-07-25;5.59
22;TIET4;D;2018-07-25;2.42
23;KNRE11;D;2018-07-13;24.26
24;KNRE11;D;2018-08-14;2.21
25;KNRE11;D;2018-08-14;21.16
26;KNRE11;D;2018-08-14;22.45
27;ITSA4;D;2018-08-28;7.94
28;ITSA4;D;2018-08-30;19.92
29;ITSA4;J;2018-08-30;0.82
30;ABCP11;D;2018-09-10;0.85
31;ABCP11;D;2018-10-05;0.85
32;ITSA4;D;2018-10-01;1.5
33;TIET4;D;2018-10-10;8.43
34;ABCP11;D;2018-11-08;2.63
35;TAEE11;D;2018-11-22;35.57
36;ABCP11;D;2018-12-07;2.79
37;CIEL3;D;2018-12-26;26.61
38;ITSA4;D;2019-01-02;2.44
39;BBSE3;D;2019-01-02;25.69
40;ABCP11;D;2019-01-08;2.79
41;ABCP11;D;2019-02-07;4.03
42;BBSE3;D;2019-02-26;12.86
43;BBSE3;J;2019-02-26;0.1
44;ITSA4;J;2019-03-07;0.84
45;ITSA4;D;2019-03-07;55.29
46;ITSA4;J;2019-03-07;32.26
47;ABCP11;D;2019-03-11;2.7
48;CIEL3;D;2019-03-11;6.09
49;CIEL3;D;2019-03-11;26.13
50;ABCP11;D;2019-03-11;19.09
51;ITSA4;D;2019-04-01;2.44
52;ABCP11;D;2019-04-05;2.7
53;MGLU3;D;2019-04-26;2.02
54;MGLU3;J;2019-04-26;1.48
55;ABCP11;D;2019-05-08;2.7
56;TAEE11;D;2019-05-14;8.29
57;TAEE11;J;2019-05-28;9.61
58;TAEE11;D;2019-05-28;2.73
59;ABCP11;D;2019-06-05;2.7
60;CIEL3;J;2019-06-27;4.63
61;CIEL3;D;2019-06-27;7.99
62;ABCP11;D;2019-07-05;2.7
63;ITSA4;D;2019-07-01;2.44
64;ABCP11;D;2019-08-07;2.7
65;TAEE11;J;2019-08-19;8.48
66;TAEE11;D;2019-08-19;26.12
67;BBSE3;J;2019-08-21;0.12
68;BBSE3;D;2019-08-21;16.92
69;ITSA4;D;2019-08-23;41.54
70;CIEL3;D;2019-09-27;0.26
71;CIEL3;J;2019-09-27;4.2
72;CIEL3;J;2019-09-27;0.06
73;ITSA4;D;2019-10-01;2.44
74;BIDI11;J;2019-10-08;0.42
75;CIEL3;J;2019-11-18;2.44
76;CIEL3;J;2019-11-18;1.31
77;TAEE11;D;2019-11-29;17.58
78;TAEE11;J;2019-11-29;8.07
79;TAEE11;J;2019-12-27;7.67
80;ITSA4;D;2020-01-02;2.62
81;BIDI11;J;2020-01-08;0.42
82;ITSA4;J;2020-02-13;1.79
83;ITSA4;J;2020-01-13;0.76
84;BBSE3;D;2020-02-27;0.18
85;BBSE3;D;2020-02-27;36.06
86;ITSA4;D;2020-03-06;29.6
87;ITSA4;J;2020-03-06;24.86
88;ITSA4;D;2020-04-01;2.62
89;BIDI11;J;2020-04-08;0.53
90;BBSE3;D;2020-04-30;25.69
91;TAEE11;D;2020-05-15;8.96
92;TAEE11;D;2020-05-28;26.18
93;TAEE11;J;2020-05-28;7.56
94;ITSA4;D;2020-07-01;2.62
95;MGLU3;D;2020-08-19;9.69
96;BIDI11;J;2020-08-20;0.77
97;BBSE3;D;2020-08-24;16.62
98;ITSA4;D;2020-08-26;2.62
99;TAEE11;D;2020-08-26;32
100;ITSA4;D;2020-10-01;2.62
